Turtle_id,Turtle_name,Species,Weight,CCL_a,Madad
12,Lior,Loggerhead,1880.5,22.0,1.9426652892561984
23,Padung-boney,Green Turtle,33000.0,64.5,0.9915269515053182
27,Shraga,Loggerhead,16.0,4.4,0.8264462809917354
28,Yehuda,Loggerhead,16.9,4.5,0.8345679012345678
36,Shimon,Loggerhead,6000.0,37.7,0.8443034145037254
37,Dror,Loggerhead,6200.0,38.5,0.8365660313712262
38,Halel4,Red Ear Slider,626.0,17.0,1.0830449826989619
39,Nokdim,Red Ear Slider,70.0,7.7,1.1806375442739079
44,Solomon,Green Turtle,2253.0,26.4,0.8081525482093664
45,Avinoam,Loggerhead,45000.0,72.0,0.9645061728395061
61,Razon yonsy,Loggerhead,7000.0,35.0,1.4285714285714286
67,Chomy,Loggerhead,67.0,8.0,1.046875
69,Zeresh,Loggerhead,86.0,8.5,1.1903114186851211
70,y Chovlim,Loggerhead,41000.0,70.0,0.9297052154195011
71,Israel,Loggerhead,59.0,7.8,0.9697567389875082
73,Yosi,Loggerhead,50.95,6.5,1.2059171597633136
74,Roy,Green Turtle,217.0,11.5,1.6408317580340264
77,Gladis,Leatherback,355000.0,157.0,1.440220698608463
79,Rahav,Green Turtle,32000.0,65.5,0.828752533198661
80,Quasimodo,Loggerhead,39500.0,68.0,0.9491541714725105
92,Raziel,Loggerhead,6800.0,37.4,0.9722897423432183
94,Geled,Green Turtle,2630.0,29.0,0.781807372175981
97,Alona,Loggerhead,14400.0,50.8,0.9300018600037201
99,Shon Perez,Loggerhead,37000.0,66.3,0.9352595635977767
108,potipher,Red Ear Slider,673.5,18.5,0.9839298758217677
133,Kesari,Loggerhead,3700.0,66.0,0.09437812468115497
134,Silver,Loggerhead,49.4,8.9,0.6236586289609897
152,Shever157,Loggerhead,279.5,12.8,1.7059326171874998
159,1/2 headless terapin,Caspian Turtle,932.0,21.0,1.056689342403628
160,No-nail,Red Ear Slider,664.0,19.4,0.8821341268997769
162,Byuko,Loggerhead,128.5,9.8,1.3379841732611408
182,Ezzo2,Red Ear Slider,105.0,8.7,1.3872374157748715
185,Svetlana,Nile Softshell,1370.0,27.0,0.46982167352537724
186,Nizanim,Loggerhead,150.0,10.1,1.4704440741103815
188,Molly,Loggerhead,20000.0,48.8,1.399713338708233
189,Ellie1,Red Ear Slider,210.0,11.6,1.5606420927467302
190,Ellie2,Red Ear Slider,171.0,10.8,1.4660493827160492
191,Ellie3,Red Ear Slider,132.5,9.5,1.4681440443213296
195,Raphi Yaabetz,Red Ear Slider,351.0,14.2,0.8703630232096807
196,Mary,Red Ear Slider,588.0,16.2,1.1202560585276635
204,Foofoo,Loggerhead,17.5,4.4,0.9039256198347106
207,Almog Tiger,Red Ear Slider,600.0,16.4,1.1154074955383702
214,Kobi the 2nd,Loggerhead,79.0,8.5,1.0934256055363323
218,Malachy,Loggerhead,65.0,7.6,1.1253462603878117
220,Sheleg,Loggerhead,37.0,7.0,0.7551020408163265
228,Danny boy,Green Turtle,111.0,9.3,1.2833853624696496
246,Guy Tzoref,Loggerhead,23740.0,57.0,0.9133579562942444
270,Rephael Ninjely,Loggerhead,4940.0,35.6,0.7795732862012372
275,Dror the 2nd,Loggerhead,6.0,8.0,0.09375
323,Dlila,Loggerhead,251.0,12.5,1.6064
335,Max,Loggerhead,391.0,14.0,1.9948979591836735
373,Booli,Loggerhead,115.0,9.2,1.3586956521739133
380,Avner,Loggerhead,474.0,15.5,0.9864724245577523
422,Mimi,Loggerhead,723.0,17.4,1.1940150614348002
428,Alex,Green Turtle,123.5,9.7,1.3125730683388246
432,David,Loggerhead,119.0,9.5,1.3185595567867037
433,Liat,Loggerhead,852.5,18.7,1.2189367725699907
438,Eli Markos,Green Turtle,72280.0,83.6,1.0342025136787163
440,Koome,Loggerhead,74.0,8.7,0.9776720834984809
442,Jeff,Loggerhead,115.0,9.7,1.2222340312466788
443,Booch,Loggerhead,82.0,9.0,1.0123456790123457
446,Baba,Loggerhead,81.5,9.0,1.0061728395061729
447,Putzker,Loggerhead,32320.0,61.6,1.0646820711755776
448,Patrica 1,Red Ear Slider,2420.0,25.0,1.936
449,Patrica 2,Red Ear Slider,320.0,13.0,1.893491124260355
452,Ori,Loggerhead,56.5,7.4,1.0317750182615046
456,Fender,Loggerhead,46700.0,71.1,1.0264437854983057
458,Mishmish,Loggerhead,44.5,7.6,0.7704293628808865
